RESSTREET,RES_CITY,RES_STATE,RES_ZIP,RES_ZIP4,PRECINCT,WARD,ANC,SMD
LOWELL ST NW,WASHINGTON,DC,20016,,27.00,3,3C,3C09
BRANDYWINE ST NW,WASHINGTON,DC,20016,,31.00,3,3E,3E+01
13TH ST NW,WASHINGTON,DC,20009,,36.00,1,1B,1B09
ROCKWOOD PKY NW,WASHINGTON,DC,20016,,9.00,3,3D,3D02
EDGEWOOD ST NE,WASHINGTON,DC,20017,,74.00,5,5E,5E+02
NORTH DAKOTA AVE NW,WASHINGTON,DC,20011,,64.00,4,4B,4B06
EASTERN AVE NE,WASHINGTON,DC,20019,,95.00,7,7C,7C06
1ST ST NW,WASHINGTON,DC,20001,,135.00,5,5E,5E+08
RHODE ISLAND AVE NW,WASHINGTON,DC,20001,,21.00,6,6E,6E+01
I ST NE,WASHINGTON,DC,20002,,83.00,6,6A,6A01
COLUMBIA RD NW,WASHINGTON,DC,20009,,25.00,1,1C,1C03
30TH ST NW,WASHINGTON,DC,20007,,5.00,2,2E,2E+06
50TH PL NE,WASHINGTON,DC,20019,,94.00,7,7C,7C01
MASSACHUSETTS AVE SE,WASHINGTON,DC,20019,,110.00,7,7E,7E+02
HAYES ST NE,WASHINGTON,DC,20019,,100.00,7,7D,7D02
GRANT ST NE,WASHINGTON,DC,20019,,99.00,7,7D,7D06
O ST NW,WASHINGTON,DC,20007,,6.00,2,2E,2E+03
ASTOR PL SE,WASHINGTON,DC,20019,,105.00,7,7E,7E+06
G ST SW,WASHINGTON,DC,20024,,128.00,6,6D,6D03
14TH ST NW,WASHINGTON,DC,20011,,54.00,4,4C,4C02
FESSENDEN ST NW,WASHINGTON,DC,20016,,32.00,3,3E,3E+04
13TH ST NE,WASHINGTON,DC,20002,,81.00,6,6A,6A05
CORCORAN ST NE,WASHINGTON,DC,20002,,76.00,5,5D,5D01
JENIFER ST NW,WASHINGTON,DC,20015,,50.00,3,3G,3G07
RHODE ISLAND AVE NW,WASHINGTON,DC,20005,,17.00,2,2F,2F03
ALLISON ST NW,WASHINGTON,DC,20011,,46.00,4,4C,4C09
MASSACHUSETTS AVE NW,WASHINGTON,DC,20016,,28.00,3,3C,3C07
BURNS ST NE,WASHINGTON,DC,20019,,102.00,7,7F,7F01
VEAZEY TER NW,WASHINGTON,DC,20008,,34.00,3,3F,3F02
M ST SW,WASHINGTON,DC,20024,,127.00,6,6D,6D05
ELLICOTT ST NW,WASHINGTON,DC,20008,,138.00,3,3F,3F03
WYNDALE ST NW,WASHINGTON,DC,20015,,51.00,4,3G,3G01
16TH ST SE,WASHINGTON,DC,20020,,112.00,8,8A,8A05
PERRY ST NE,WASHINGTON,DC,20018,,69.00,5,5C,5C01
KLINGLE ST NW,WASHINGTON,DC,20016,,10.00,3,3D,3D01
5TH ST NE,WASHINGTON,DC,20002,,83.00,6,6C,6C05
12TH ST SE,WASHINGTON,DC,20003,,88.00,6,6B,6B05
8TH ST NE,WASHINGTON,DC,20002,,84.00,6,6C,6C05
7TH ST NW,WASHINGTON,DC,20001,,21.00,6,6E,6E+02
CATHEDRAL AVE NW,WASHINGTON,DC,20008,,26.00,3,3C,3C08
19TH ST NE,WASHINGTON,DC,20002,,86.00,6,6A,6A08
BELLEVUE TER NW,WASHINGTON,DC,20016,,28.00,3,3C,3C07
JAMES PL NE,WASHINGTON,DC,20019,,95.00,7,7C,7C06
16TH ST NW,WASHINGTON,DC,20009,,15.00,2,2B,2B04
MARTIN LUTHER KING AVE SW,WASHINGTON,DC,20032,,126.00,8,8D,8D04
13TH ST NE,WASHINGTON,DC,20018,,72.00,5,5C,5C05
MONTELLO AVE NE,WASHINGTON,DC,20002,,77.00,5,5D,5D07
14TH ST NW,WASHINGTON,DC,20009,,36.00,1,1A,1A12
TERRACE RD SE,WASHINGTON,DC,20020,,113.00,7,7B,7B05
ANACOSTIA RD SE,WASHINGTON,DC,20019,,107.00,7,7F,7F06
